iso,country,topic,topic_label,count,total_speeches,share
AUT,Austria,67,67_myanmar_burma_nuclear_national,1,27,0.037037037037037035
AUT,Austria,81,81_operation_environment_south_namibia,1,27,0.037037037037037035
AUT,Austria,86,86_syria_syrian_2015_terrorism,4,27,0.14814814814814814
AUT,Austria ,1,1_pandemic_covid_covid 19_19,1,2,0.5
AUT,Austria ,10,10_ukraine_russia_moldova_ukrainian,1,2,0.5
AZE,Azerbaijan,6,6_terrorism_11 september_2001_terrorist,2,21,0.09523809523809523
AZE,Azerbaijan,7,7_war_great_soviet_israel,1,21,0.047619047619047616
AZE,Azerbaijan,31,31_century_east timor_timor_human,1,21,0.047619047619047616
AZE,Azerbaijan,54,54_iraq_terrorism_baghdad_vieira mello,1,21,0.047619047619047616
AZE,Azerbaijan,83,83_azerbaijan_armenia_karabakh_azerbaijani,16,21,0.7619047619047619
AZE,Azerbaijan ,1,1_pandemic_covid_covid 19_19,2,3,0.6666666666666666
AZE,Azerbaijan ,83,83_azerbaijan_armenia_karabakh_azerbaijani,1,3,0.3333333333333333
AZE,Republic of Azerbaijan,83,83_azerbaijan_armenia_karabakh_azerbaijani,1,1,1.0
BDI,Burundi,0,0_sustainable_climate_change_climate change,1,51,0.0196078431372549
BDI,Burundi,2,2_africa_african_south_south africa,1,51,0.0196078431372549
BDI,Burundi,7,7_war_great_soviet_israel,1,51,0.0196078431372549
BDI,Burundi,8,8_independence_operation_africa_special,1,51,0.0196078431372549
BDI,Burundi,17,17_malawi_zambia_africa_african,1,51,0.0196078431372549
BDI,Burundi,27,27_seychelles_africa_conference_operation,1,51,0.0196078431372549
BDI,Burundi,38,38_developing_south_africa_palestinian,1,51,0.0196078431372549
BDI,Burundi,45,45_malaysia_great_nuclear_powers,1,51,0.0196078431372549
BDI,Burundi,66,66_burundi_republic burundi_national_republic,43,51,0.8431372549019608
BDI,Burundi ,66,66_burundi_republic burundi_national_republic,2,2,1.0
BDI,Republic of Burundi,1,1_pandemic_covid_covid 19_19,1,1,1.0
BEL,Belgium,0,0_sustainable_climate_change_climate change,2,46,0.043478260869565216
BEL,Belgium,2,2_africa_african_south_south africa,2,46,0.043478260869565216
BEL,Belgium,3,3_soviet_soviet union_union_war,2,46,0.043478260869565216
BEL,Belgium,6,6_terrorism_11 september_2001_terrorist,1,46,0.021739130434782608
BEL,Belgium,7,7_war_great_soviet_israel,5,46,0.10869565217391304
BEL,Belgium,8,8_independence_operation_africa_special,1,46,0.021739130434782608
BEL,Belgium,9,9_israel_palestinian_israeli_arab,1,46,0.021739130434782608
BEL,Belgium,15,15_bangladesh_south_africa_operation,1,46,0.021739130434782608
BEL,Belgium,18,18_guatemala_american_central_guatemalan,1,46,0.021739130434782608
BEL,Belgium,20,20_zimbabwe_kampuchea_south_africa,1,46,0.021739130434782608
BEL,Belgium,21,21_netherlands_european_rights_human,17,46,0.3695652173913043
BEL,Belgium,25,25_operation_south_africa_disarmament,1,46,0.021739130434782608
BEL,Belgium,26,26_israel_kampuchea_situation_south,1,46,0.021739130434782608
BEL,Belgium,27,27_seychelles_africa_conference_operation,1,46,0.021739130434782608
BEL,Belgium,31,31_century_east timor_timor_human,1,46,0.021739130434782608
BEL,Belgium,45,45_malaysia_great_nuclear_powers,1,46,0.021739130434782608
BEL,Belgium,46,46_fortieth_south_africa_operation,1,46,0.021739130434782608
BEL,Belgium,49,49_pakistan_india_kashmir_nuclear,1,46,0.021739130434782608
BEL,Belgium,55,55_france_french_europe_war,1,46,0.021739130434782608
BEL,Belgium,65,65_uruguay_human_law_rights,1,46,0.021739130434782608
BEL,Belgium,76,76_iraq_iraqi_iranian_iran,1,46,0.021739130434782608
BEL,Belgium,86,86_syria_syrian_2015_terrorism,2,46,0.043478260869565216
BEL,Belgium ,0,0_sustainable_climate_change_climate change,1,3,0.3333333333333333
BEL,Belgium ,1,1_pandemic_covid_covid 19_19,1,3,0.3333333333333333
BEL,Belgium ,10,10_ukraine_russia_moldova_ukrainian,1,3,0.3333333333333333
BEL,Kingdom of Belgium,0,0_sustainable_climate_change_climate change,1,2,0.5
BEL,Kingdom of Belgium,1,1_pandemic_covid_covid 19_19,1,2,0.5
BEN,Benin,0,0_sustainable_climate_change_climate change,6,12,0.5
BEN,Benin,2,2_africa_african_south_south africa,2,12,0.16666666666666666
BEN,Benin,6,6_terrorism_11 september_2001_terrorist,1,12,0.08333333333333333
BEN,Benin,7,7_war_great_soviet_israel,1,12,0.08333333333333333
BEN,Benin,46,46_fortieth_south_africa_operation,1,12,0.08333333333333333
BEN,Benin,81,81_operation_environment_south_namibia,1,12,0.08333333333333333
BEN,Benin ,1,1_pandemic_covid_covid 19_19,1,1,1.0
BEN,Benin (Dahomey),7,7_war_great_soviet_israel,1,1,1.0
BEN,Dahomey,2,2_africa_african_south_south africa,1,7,0.14285714285714285
BEN,Dahomey,8,8_independence_operation_africa_special,2,7,0.2857142857142857
BEN,Dahomey,17,17_malawi_zambia_africa_african,1,7,0.14285714285714285
BEN,Dahomey,19,19_indonesia_china_disarmament_israel,1,7,0.14285714285714285
BEN,Dahomey,37,37_romania_romanian_disarmament_relations,1,7,0.14285714285714285
BEN,Dahomey,60,60_poland_polish_europe_war,1,7,0.14285714285714285
BEN,Republic of Benin,1,1_pandemic_covid_covid 19_19,1,1,1.0
BFA,Burkina Faso,0,0_sustainable_climate_change_climate change,7,17,0.4117647058823529
BFA,Burkina Faso,1,1_pandemic_covid_covid 19_19,1,17,0.058823529411764705
BFA,Burkina Faso,2,2_africa_african_south_south africa,1,17,0.058823529411764705
BFA,Burkina Faso,15,15_bangladesh_south_africa_operation,1,17,0.058823529411764705
BFA,Burkina Faso,22,22_environment_organisation_democracy_rights,1,17,0.058823529411764705
BFA,Burkina Faso,25,25_operation_south_africa_disarmament,1,17,0.058823529411764705
BFA,Burkina Faso,31,31_century_east timor_timor_human,1,17,0.058823529411764705
BFA,Burkina Faso,40,40_millennium_globalization_millennium summit_summit,1,17,0.058823529411764705
BFA,Burkina Faso,46,46_fortieth_south_africa_operation,1,17,0.058823529411764705
BFA,Burkina Faso,54,54_iraq_terrorism_baghdad_vieira mello,1,17,0.058823529411764705
BFA,Burkina Faso,64,64_kuwait_operation_south_organisation,1,17,0.058823529411764705
BFA,Upper Volta,3,3_soviet_soviet union_union_war,1,7,0.14285714285714285
BFA,Upper Volta,8,8_independence_operation_africa_special,1,7,0.14285714285714285
BFA,Upper Volta,20,20_zimbabwe_kampuchea_south_africa,1,7,0.14285714285714285
BFA,Upper Volta,21,21_netherlands_european_rights_human,1,7,0.14285714285714285
BFA,Upper Volta,38,38_developing_south_africa_palestinian,1,7,0.14285714285714285
BFA,Upper Volta,45,45_malaysia_great_nuclear_powers,1,7,0.14285714285714285
BFA,Upper Volta,71,71_operation_rights_latin_cyprus,1,7,0.14285714285714285
BFA,Upper Volta ,45,45_malaysia_great_nuclear_powers,1,1,1.0
BGD,Bangladesh,0,0_sustainable_climate_change_climate change,1,35,0.02857142857142857
BGD,Bangladesh,2,2_africa_african_south_south africa,1,35,0.02857142857142857
BGD,Bangladesh,6,6_terrorism_11 september_2001_terrorist,1,35,0.02857142857142857
BGD,Bangladesh,8,8_independence_operation_africa_special,1,35,0.02857142857142857
BGD,Bangladesh,11,11_portugal_process_fiftieth_human,1,35,0.02857142857142857
BGD,Bangladesh,14,14_south_brunei_darussalam_africa,1,35,0.02857142857142857
BGD,Bangladesh,15,15_bangladesh_south_africa_operation,22,35,0.6285714285714286
BGD,Bangladesh,16,16_reform_malaysia_human_rights,1,35,0.02857142857142857
BGD,Bangladesh,20,20_zimbabwe_kampuchea_south_africa,1,35,0.02857142857142857
BGD,Bangladesh,24,24_mediation_challenges_peaceful_al nasser,2,35,0.05714285714285714
BGD,Bangladesh,33,33_lebanon_lebanese_israel_arab,1,35,0.02857142857142857
BGD,Bangladesh,38,38_developing_south_africa_palestinian,1,35,0.02857142857142857
BGD,Bangladesh,46,46_fortieth_south_africa_operation,1,35,0.02857142857142857
BGD,Bangladesh ,15,15_bangladesh_south_africa_operation,4,4,1.0
BGD,People’s Republic of Bangladesh,15,15_bangladesh_south_africa_operation,2,2,1.0
BGR,Bulgaria,0,0_sustainable_climate_change_climate change,3,49,0.061224489795918366
BGR,Bulgaria,3,3_soviet_soviet union_union_war,8,49,0.16326530612244897
BGR,Bulgaria,7,7_war_great_soviet_israel,1,49,0.02040816326530612
BGR,Bulgaria,8,8_independence_operation_africa_special,1,49,0.02040816326530612
BGR,Bulgaria,12,12_viet_viet nam_nam_struggle,1,49,0.02040816326530612
BGR,Bulgaria,14,14_south_brunei_darussalam_africa,1,49,0.02040816326530612
BGR,Bulgaria,20,20_zimbabwe_kampuchea_south_africa,1,49,0.02040816326530612
BGR,Bulgaria,22,22_environment_organisation_democracy_rights,1,49,0.02040816326530612
BGR,Bulgaria,24,24_mediation_challenges_peaceful_al nasser,1,49,0.02040816326530612
